Peak,Reporting_Limit,HolmesTap,08-16-CKS-1,08-16-CKS-2,08-16-CKS-7,08-16-CKS-8,08-16-CKS-10,08-16-CKS-12
Chloromethane (methyl chloride),2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Chloroethene (vinyl chloride),2,,,,,,,
Bromomethane (methyl bromide),2,0.138,0.182,0.182,n.a.,0.244,0.248,0.234
Chloroethane (ethyl chloride),2,n.a.,0.039,n.a.,0.041,n.a.,0.156,n.a.
Trichlorofluoromethane,2,0.007,0.001,n.a.,n.a.,n.a.,n.a.,n.a.
Diethyl ether,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"1,1-Dichloroethene",2,0.01,n.a.,n.a.,n.a.,n.a.,0.002,n.a.
Acetone,3.6,1.676,1.27,1.824,17.367,1.968,2.04,3.027
Iodomethane,2,0.214,0.118,0.136,0.17,0.13,0.062,0.155
Carbon disulfide,2,0.446,3.499,0.188,3.145,0.174,0.123,0.245
3-Chloropropene (allyl chloride),2,n.a.,n.a.,0.025,n.a.,n.a.,0.053,n.a.
Methylene chloride,2,6.066,2.782,2.815,2.778,2.821,2.74,2.827
"trans-1,2-Dichloroethene",2,0.06,0.003,0.007,0.02,0.003,0.004,0.006
Acrylonitrile,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Methyl tert-butyl ether (MTBE),2,,,,,,,
"1,1-Dichloroethane",2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"2,2-Dichloropropane",2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"cis-1,2-Dichloroethene",2,0.026,n.a.,n.a.,n.a.,n.a.,n.a.,0.002
2-Butanone (MEK),3.6,n.a.,n.a.,n.a.,14.842,1.147,0.41,0.117
Propionitrile (ethylcyanide),2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Methyl acrylate,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Bromochloromethane,2,0.007,n.a.,n.a.,0.088,n.a.,n.a.,n.a.
Tetrahydrofuran,2,n.a.,n.a.,n.a.,194.634,3.004,0.486,0.057
Methacrylonitrile,2,,,,,,,
Trichloromethane (chloroform),2,0.012,0.032,12.956,2.209,17.53,28.868,0.645
"1,1,1-Trichloroethane",2,n.a.,0.001,n.a.,n.a.,n.a.,n.a.,n.a.
Dibromofluoromethane (SS1),2,15.218,15.093,15.198,14.751,15.325,15.052,14.536
IS1 Pentafluorobenzene,2,10,10,10,10,10,10,10
Carbon tetrachloride,2,,,,,,,
1-Chlorobutane (butyl chloride),2,0.137,0.11,0.116,0.122,0.116,0.129,0.112
"1,1-Dichloropropene",2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Benzene,2,0.047,0.026,0.075,0.036,0.052,0.02,0.029
"1,2-Dichloroethane",2,0.021,0.003,0.004,0.008,0.004,0.002,n.a.
"IS2 1,4-Difluorobenzene",2,10,10,10,10,10,10,10
Trichloroethene,2,0.035,0.002,0.003,0.012,0.002,0.002,0.004
"1,2-Dichloropropane",2,0.009,0.013,n.a.,n.a.,n.a.,n.a.,n.a.
Dibromomethane,2,,,,,,,
Methyl methacrylate,2,,,,,,,
Bromodichloromethane,2,0.026,0.009,5.961,0.466,7.944,8.54,0.906
2-Nitropropane,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Chloroacetonitrile,2,n.a.,n.a.,0.395,n.a.,0.327,0.181,n.a.
"cis-1,3-Dichloropropene",2,0.04,n.a.,0.002,n.a.,n.a.,n.a.,n.a.
4-Methyl-2-pentanone (MIBK),3.6,,,,,,,
Toluene-d8 (SS2),2,9.766,9.644,9.734,9.643,9.701,9.964,9.684
Toluene,2,0.04,0.341,0.027,0.031,0.029,0.018,0.017
"trans-1,3-Dichloropropene",2,0.061,n.a.,0.006,0.019,n.a.,n.a.,0.009
Ethyl methacrylate,2,,,,,,,
"1,1,2-Trichloroethane",2,0.016,n.a.,0.009,0.008,n.a.,n.a.,n.a.
Tetrachloroethene,2,0.041,0.002,0.003,0.013,0.005,0.006,0.007
"1,3-Dichloropropane",2,0.021,n.a.,n.a.,0.005,n.a.,n.a.,n.a.
2-Hexanone,3.6,0.019,n.a.,n.a.,n.a.,n.a.,0.021,n.a.
Dibromochloromethane,2,0.105,0.003,3.342,0.177,4.235,3.98,1.305
"1,2-Dibromoethane (EDB)",2,0.039,n.a.,0.005,0.008,n.a.,n.a.,0.005
IS3 Chlorobenzene-d5,2,10,10,10,10,10,10,10
Chlorobenzene,2,0.049,0.005,0.003,0.016,0.005,0.002,0.008
"1,1,1,2-Tetrachloroethane",2,0.014,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Ethylbenzene,2,0.049,0.106,0.012,0.014,0.027,0.009,0.009
m/p-Xylene,2,0.054,0.065,0.013,0.019,0.021,0.014,0.013
o-Xylene,2,0.037,0.059,0.012,0.011,0.022,0.013,0.01
Styrene,2,0.064,0.182,0.013,0.022,0.011,0.01,0.014
Bromoform,2,1.174,0.002,0.481,0.068,0.611,0.583,0.852
Isopropylbenzene (cumene),2,,,,,,,
"1-Bromo-4-fluorobenzene (BFB,SS3)",2,11.201,10.589,10.831,10.987,10.811,10.975,11.114
Bromobenzene,2,0.073,n.a.,n.a.,0.022,n.a.,n.a.,n.a.
"1,1,2,2-Tetrachloroethane",2,0.023,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"1,2,3-Trichloropropane (TCP)",2,0.038,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"trans-1,4-Dichloro-2-butene",2,0.046,n.a.,n.a.,0.009,n.a.,n.a.,n.a.
n-Propylbenzene,2,0.088,0.009,n.a.,0.025,0.015,0.006,0.01
2-Chlorotoluene,2,0.067,n.a.,n.a.,0.011,n.a.,n.a.,0.007
"1,3,5-Trimethylbenzene",2,0.059,0.005,0.008,0.017,0.009,0.006,0.01
4-Chlorotoluene,2,0.087,0.004,0.008,0.025,0.004,n.a.,0.014
tert-Butylbenzene,2,0.04,n.a.,n.a.,0.007,n.a.,n.a.,0.003
Pentachloroethane,2,0.005,n.a.,n.a.,n.a.,n.a.,n.a.,0.002
"1,2,4-Trimethylbenzene",2,0.092,0.024,0.025,0.035,0.03,0.027,0.027
1-Methylpropylbenzene (sec-butylbenzene),2,0.078,n.a.,0.004,0.017,0.002,0.001,0.007
"1,3-Dichlorobenzene",2,0.109,0.005,0.01,0.034,0.011,0.007,0.017
4-Isopropyltoluene (p-cymene),2,,,,,,,
"IS4 1,4-Dichlorobenzene-d4",2,10,10,10,10,10,10,10
"1,4-Dichlorobenzene",2,0.135,0.009,0.012,0.039,0.01,0.008,0.022
"1,2-Dichlorobenzene",2,0.107,0.01,0.018,0.038,0.016,0.01,0.024
n-Butylbenzene,2,0.139,0.005,0.012,0.04,0.013,0.008,0.019
Hexachloroethane,2,0.04,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"1,2-Dibromo-3-chloropropane (DBCP)",2,0.067,n.a.,n.a.,n.a.,n.a.,0.005,n.a.
Nitrobenzene,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"1,2,4-Trichlorobenzene",2,0.269,0.011,0.025,0.072,0.018,0.013,0.041
"Hexachloro-1,3-butadiene",2,0.188,0.004,0.008,0.046,0.006,0.005,0.023
Naphthalene,2,0.249,0.012,0.02,0.054,0.021,0.032,0.093
"1,2,3-Trichlorobenzene",2,0.388,n.a.,0.025,0.082,0.022,n.a.,0.049
