Sample Pair,Percent Reduction,Pair Label
12-28-23-JI-2 (Tap) → 12-28-23-JI-3 (Filtered),50.0,Pair 1
11-6-KDP-9 (Tap) → 11-6-KDP-10 (Filtered),42.857142857142854,Pair 2
3-20-CDS-8 (Tap) → 3-20-CDS-9 (Filtered),42.857142857142854,Pair 3
3-20-CDS-3 (Tap) → 3-20-CDS-4 (Filtered),42.857142857142854,Pair 4
3-20-CDS-1 (Tap) → 3-20-CDS-2 (Filtered),42.857142857142854,Pair 5
10-17-JES-1 (Tap) → 10-17-JES-2 (Filtered),42.857142857142854,Pair 6
8-2-KDP-5 (Tap) → 8-2-KDP-6 (Filtered),37.51584718237496,Pair 7
11-13-23-JI-11 (Tap) → 11-13-23-JI-12 (Filtered),35.714285714285715,Pair 8
10-3-JES-5 (Tap) → 10-3-JES-4 (Filtered),35.714285714285715,Pair 9
12-28-23-JI-7 (Tap) → 12-28-23-JI-6 (Filtered),35.714285714285715,Pair 10
11-18-23-JI-15 (Tap) → 11-18-23-JI-14 (Filtered),35.714285714285715,Pair 11
11-21-KDP-3 (Tap) → 11-21-KDP-2 (Filtered),34.98359923014085,Pair 12
11-21-KDP-3 (Tap) → 11-21-KDP-1 (Filtered),34.95316624718671,Pair 13
2-2-KDP-4 (Tap) → 2-2-KDP-7 (Filtered),33.750573067892915,Pair 14
2-15-24-JI-4 (Tap) → 2-15-24-JI-3 (Filtered),33.382656111132654,Pair 15
10-4-24-KDP-2 (Tap) → 10-4-24-KDP-3 (Filtered),29.906171777200882,Pair 16
11-16-KDP-1 (Tap) → 11-16-KDP-2 (Filtered),28.571428571428573,Pair 17
10-4-JES-21 (Tap) → 10-4-JES-20 (Filtered),28.571428571428573,Pair 18
3-20-24-JI-17 (Tap) → 3-20-24-JI-16 (Filtered),28.571428571428573,Pair 19
12-12-23-JI-2 (Tap) → 12-12-23-JI-1 (Filtered),28.571428571428573,Pair 20
9-27-KDP-3 (Tap) → 9-27-KDP-5 (Filtered),28.571428571428573,Pair 21
11-8-KDP-1 (Tap) → 11-8-KDP-3 (Filtered),28.571428571428573,Pair 22
9-26-KDP-2 (Tap) → 9-26-KDP-3 (Filtered),28.571428571428573,Pair 23
5-4-KDP-5 (Tap) → 5-4-KDP-6 (Filtered),28.571428571428573,Pair 24
7-19-KDP-3 (Tap) → 7-19-KDP-4 (Filtered),28.571428571428573,Pair 25
12-28-23-JI-7 (Tap) → 12-28-23-JI-5 (Filtered),28.50255093131608,Pair 26
8-16-CKS-4 (Tap) → 8-16-CKS-5 (Filtered),28.13214805572884,Pair 27
10-18-KDP-2 (Tap) → 10-18-KDP-3 (Filtered),28.10324570224491,Pair 28
5-4-KDP-3 (Tap) → 5-4-KDP-4 (Filtered),28.06777592185755,Pair 29
8-29-CKS-43 (Tap) → 8-29-CKS-44 (Filtered),27.927708411754473,Pair 30
2-2-KDP-4 (Tap) → 2-2-KDP-6 (Filtered),27.744821550131284,Pair 31
8-25-CKS-33 (Tap) → 8-25-CKS-34 (Filtered),26.020657201451694,Pair 32
9-18-KDP-1 (Tap) → 9-18-KDP-2 (Filtered),25.10950852200021,Pair 33
9-19-KDP-1 (Tap) → 9-19-KDP-2 (Filtered),23.303214389727145,Pair 34
10-17-JES-4 (Tap) → 10-17-JES-5 (Filtered),21.846115608816884,Pair 35
3-11-KDP-4 (Tap) → 3-11-KDP-6 (Filtered),21.428571428571427,Pair 36
3-29-KDP-3 (Tap) → 3-29-KDP-2 (Filtered),21.428571428571427,Pair 37
9-25-KDP-5 (Tap) → 9-25-KDP-6 (Filtered),21.428571428571427,Pair 38
5-6-KDP-1 (Tap) → 5-6-KDP-3 (Filtered),21.428571428571427,Pair 39
8-30-24-KDP-11 (Tap) → 8-30-24-KDP-12 (Filtered),21.428571428571427,Pair 40
12-8-KDP-2 (Tap) → 12-8-KDP-3 (Filtered),21.428571428571427,Pair 41
12-8-KDP-4 (Tap) → 12-8-KDP-6 (Filtered),21.428571428571427,Pair 42
11-15-KDP-3 (Tap) → 11-15-KDP-4 (Filtered),21.428571428571427,Pair 43
10-3-JES-9 (Tap) → 10-3-JES-8 (Filtered),21.428571428571427,Pair 44
8-30-24-KDP-1 (Tap) → 8-30-24-KDP-3 (Filtered),21.428571428571427,Pair 45
3-9-KDP-1 (Tap) → 3-9-KDP-3 (Filtered),21.428571428571427,Pair 46
10-4-KDP-1 (Tap) → 10-4-KDP-2 (Filtered),21.428571428571427,Pair 47
4-12-KDP-1(Tap) → 4-12-KDP-2 (Filtered),21.428571428571427,Pair 48
9-22-KDP-7 (Tap) → 9-22-KDP-8 (Filtered),20.91383699042044,Pair 49
7-19-KDP-5 (Tap) → 7-19-KDP-6 (Filtered),20.85053871280248,Pair 50
1-19-KDP-3 (Tap) → 1-19-KDP-4 (Filtered),20.57014348249297,Pair 51
1-19-KDP-5 (Tap) → 1-10-KDP-6 (Filtered),20.492214895449983,Pair 52
10-2-KDP-10 (Tap) → 10-2-KDP-11 (Filtered),20.320253504922164,Pair 53
2-2-KDP-4 (Tap) → 2-2-KDP-5 (Filtered),20.1778318729053,Pair 54
4.26.KDP.3 (Tap) → 4.26.KDP.4 (Filtered),20.12113259832555,Pair 55
10-25-24-KDP-5 (Tap) → 10-25-24-KDP-6 (Filtered),19.967876805360024,Pair 56
4-12-KDP-3 (Tap) → 4-12-KDP-4 (Filtered),19.124275878918407,Pair 57
10-4-JES-22 (Tap) → 10-4-JES-23 (Filtered),18.712904249593358,Pair 58
10-4-JES-19 (Tap) → 10-4-JES-18 (Filtered),16.8474978472784,Pair 59
11-7-KDP-3 (Tap) → 11-7-KDP-4 (Filtered),16.280990115506942,Pair 60
10-2-KDP-6 (Tap) → 10-2-KDP-7 (Filtered),14.933954005833176,Pair 61
3-5-KDP-1 (Tap) → 3-5-KDP-2 (Filtered),14.285714285714286,Pair 62
3-5-KDP-5 (Tap) → 3-5-KDP-6 (Filtered),14.285714285714286,Pair 63
4-20-KDP-1 (Tap) → 4-20-KDP-2 (Filtered),14.285714285714286,Pair 64
3-5-KDP-5 (Tap) → 3-5-KDP-7 (Filtered),14.285714285714286,Pair 65
10-3-JES-6 (Tap) → 10-3-JES-7 (Filtered),14.285714285714286,Pair 66
10-4-24-KDP-9 (Tap) → 10-4-24-KDP-10 (Filtered),14.285714285714286,Pair 67
4.26.KDP.5 (Tap) → 4.26.KDP.6 (Filtered),14.285714285714286,Pair 68
3-29-KDP-1 (Tap) → 3-29-KDP-2 (Filtered),14.285714285714286,Pair 69
3-29-KDP-11 (Tap) → 3-29-KDP-12 (Filtered),14.285714285714286,Pair 70
10-3-JES-10 (Tap) → 10-3-JES-11 (Filtered),14.285714285714286,Pair 71
10-24-KDP-7 (Tap) → 10-24-KDP-8 (Filtered),14.285714285714286,Pair 72
6-10-KDP-1 (Tap) → 6-10-KDP-3 (Filtered),14.285714285714286,Pair 73
11-15-KDP-1 (Tap) → 11-15-KDP-2 (Filtered),14.285714285714286,Pair 74
6-14-KDP-19 (Tap) → 6-14-KDP-20 (Filtered),14.285714285714286,Pair 75
11-6-KDP-2 (Tap) → 11-6-KDP-3 (Filtered),14.285714285714286,Pair 76
9-19-KDP-3 (Tap) → 9-19-KDP-5 (Filtered),14.285714285714286,Pair 77
11-9-23-JI-4 (Tap) → 11-9-23-JI-5 (Filtered),14.285714285714286,Pair 78
11-9-KDP-1 (Tap) → 11-9-KDP-2 (Filtered),14.285714285714286,Pair 79
11-6-KDP-1 (Tap) → 11-6-KDP-3 (Filtered),14.285714285714286,Pair 80
2-13-24-JI-1 (Tap) → 2-13-24-JI-2 (Filtered),14.285714285714286,Pair 81
10-24-KDP-5 (Tap) → 10-24-KDP-6 (Filtered),14.285714285714286,Pair 82
6-14-KDP-17 (Tap) → 6-14-KDP-18 (Filtered),14.285714285714286,Pair 83
6-14-KDP-14 (Tap) → 6-14-KDP-15 (Filtered),14.285714285714286,Pair 84
6-14-KDP-13 (Tap) → 6-14-KDP-15 (Filtered),14.285714285714286,Pair 85
12-8-KDP-8 (Tap) → 12-8-KDP-9 (Filtered),14.285714285714286,Pair 86
6-14-KDP-11 (Tap) → 6-14-KDP-12 (Filtered),14.285714285714286,Pair 87
3-5-KDP-10 (Tap) → 3-5-KDP-11 (Filtered),14.285714285714286,Pair 88
9-27-KDP-3 (Tap) → 9-27-KDP-4 (Filtered),13.72530347329013,Pair 89
3-11-KDP-1 (Tap) → 3-11-KDP-3 (Filtered),13.188440155445232,Pair 90
10-24-KDP-5 (Tap) → 10-24-KDP-4 (Filtered),11.045264497364116,Pair 91
9-25-KDP-3 (Tap) → 9-25-KDP-4 (Filtered),10.441100387692819,Pair 92
5-4-KDP-2 (Tap) → 5-4-KDP-1 (Filtered),10.415875950930726,Pair 93
3-9-KDP-1 (Tap) → 3-9-KDP-2 (Filtered),8.805889676445652,Pair 94
10-4-24-KDP-4 (Tap) → 10-4-24-KDP-5 (Filtered),8.372845595677648,Pair 95
10-25-KDP-1 (Tap) → 10-25-KDP-3 (Filtered),7.90576829392979,Pair 96
11-18-23-JI-12 (Tap) → 11-18-23-JI-13 (Filtered),7.443194841673539,Pair 97
1.26.KDP.3 (Tap) → 1.26.KDP.4 (Filtered),7.278065648927364,Pair 98
11-6-KDP-7 (Tap) → 11-6-KDP-6 (Filtered),7.142857142857143,Pair 99
1.26.KDP.5 (Tap) → 1.26.KDP.6 (Filtered),7.142857142857143,Pair 100
11-9-KDP-5 (Tap) → 11-9-KDP-7 (Filtered),7.142857142857143,Pair 101
11-15-KDP-8 (Tap) → 11-15-KDP-9 (Filtered),7.142857142857143,Pair 102
11-15-KDP-5 (Tap) → 11-15-KDP-6 (Filtered),7.142857142857143,Pair 103
11-9-KDP-5 (Tap) → 11-9-KDP-6 (Filtered),7.142857142857143,Pair 104
5-6-KDP-1 (Tap) → 5-6-KDP-2 (Filtered),7.055936605052026,Pair 105
9-19-KDP-3 (Tap) → 9-19-KDP-4 (Filtered),6.594284208768228,Pair 106
11-17-23-JI-1 (Tap) → 11-17-23-JI-2 (Filtered),6.549633535964326,Pair 107
3-29-KDP-4 (Tap) → 3-29-KDP-5 (Filtered),6.125091525684996,Pair 108
10-4-KDP-6 (Tap) → 10-4-KDP-5 (Filtered),5.788573161106433,Pair 109
3-11-KDP-1 (Tap) → 3-11-KDP-2 (Filtered),5.607231178297168,Pair 110
11-9-23-JI-2 (Tap) → 11-9-23-JI-1 (Filtered),5.349075303453477,Pair 111
8-2-KDP-2 (Tap) → 8-2-KDP-3 (Filtered),4.848676153729376,Pair 112
4-15-KDP-1 (Tap) → 4-15-KDP-3 (Filtered),4.805610935091507,Pair 113
9-22-KDP-1 (Tap) → 9-22-KDP-2 (Filtered),3.7590237238236393,Pair 114
10-25-24-KDP-5 (Tap) → 10-25-24-KDP-4 (Filtered),3.268269306179142,Pair 115
3-29-KDP-6 (Tap) → 3-29-KDP-7 (Filtered),1.136556788178901,Pair 116
10-3-JES-12 (Tap) → 10-3-JES-13 (Filtered),0.9810481569677041,Pair 117
2-1-24-JI-1 (Tap) → 2-1-24-JI-2 (Filtered),0.9342459204594802,Pair 118
6-14-KDP-1 (Tap) → 6-14-KDP-2 (Filtered),0.40809812594044853,Pair 119
10-25-KDP-1 (Tap) → 10-25-KDP-2 (Filtered),0.25560681056828904,Pair 120
10-20-CKS-1 (Tap) → 10-20-CKS-3 (Filtered),0.0,Pair 121
10-20-CKS-1 (Tap) → 10-20-CKS-2 (Filtered),0.0,Pair 122
3-29-KDP-9 (Tap) → 3-29-KDP-10 (Filtered),-0.1822555353961595,Pair 123
12-8-KDP-4 (Tap) → 12-8-KDP-5 (Filtered),-0.21011690546974546,Pair 124
2-2-KDP-1 (Tap) → 2-2-KDP-2 (Filtered),-0.2905832815000622,Pair 125
4-15-KDP-1 (Tap) → 4-15-KDP-2 (Filtered),-0.6864764551949676,Pair 126
3-11-KDP-4 (Tap) → 3-11-KDP-7 (Filtered),-0.8565881865755399,Pair 127
3-5-KDP-12 (Tap) → 3-5-KDP-13 (Filtered),-0.923571350567092,Pair 128
1.26.KDP.2 (Tap) → 1.26.KDP.1 (Filtered),-0.9332646903883909,Pair 129
11-7-KDP-1 (Tap) → 11-7-KDP-2 (Filtered),-1.1128167754673781,Pair 130
6-14-KDP-6 (Tap) → 6-14-KDP-8 (Filtered),-1.1961371961371974,Pair 131
8-30-24-KDP-1 (Tap) → 8-30-24-KDP-2 (Filtered),-1.4899920075897295,Pair 132
10-17-KDP-4 (Tap) → 10-17-KDP-5 (Filtered),-1.578667127171207,Pair 133
9-14-JJ-3 (Tap) → 9-14-JJ-4 (Filtered),-2.1275585373793953,Pair 134
11-22-KDP-2 (Tap) → 11-22-KDP-3 (Filtered),-2.1706864564007438,Pair 135
6-14-KDP-6 (Tap) → 6-14-KDP-7 (Filtered),-2.282384282384281,Pair 136
11-8-KDP-1 (Tap) → 11-8-KDP-2 (Filtered),-2.4909658118908573,Pair 137
10-20-23-JI-5 (Tap) → 10-20-23-JI-4 (Filtered),-2.504712406458021,Pair 138
9-27-KDP-1 (Tap) → 9-27-KDP-2 (Filtered),-2.6256958751589003,Pair 139
6-10-KDP-1 (Tap) → 6-10-KDP-2 (Filtered),-5.632499725994263,Pair 140
3-5-KDP-8 (Tap) → 3-5-KDP-9 (Filtered),-6.82566210201402,Pair 141
10-12-24-KDP-2 (Tap) → 10-12-24-KDP-3 (Filtered),-7.142857142857143,Pair 142
3-11-KDP-4 (Tap) → 3-11-KDP-5 (Filtered),-7.378140911399235,Pair 143
10-17-KDP-4 (Tap) → 10-17-KDP-3 (Filtered),-9.469844147994646,Pair 144
11-6-KDP-7 (Tap) → 11-6-KDP-5 (Filtered),-10.666654978142459,Pair 145
6-14-KDP-9 (Tap) → 6-14-KDP-10 (Filtered),-16.413527969690215,Pair 146
4-20-KDP-1 (Tap) → 4-20-KDP-3 (Filtered),-21.48998175858836,Pair 147
8-30-24-KDP-8 (Tap) → 8-30-24-KDP-9 (Filtered),-58.370234438371824,Pair 148
3-20-CDS-6 (Tap) → 3-20-CDS-7 (Filtered),-58.76986024942612,Pair 149
