,Chemical,Total number of samples,Number of Detects,Number of Detects Above MDPH Chronic,Number of Detects Above MDPH Sub-Chronic,Number of Detects Above EPA MCLG,Number of Detects Above EPA MCL
0,Chloromethane (methyl chloride),338,1,-,-,-,0.0
1,Chloroethene (vinyl chloride),338,0,0.0,-,0.0,0.0
2,Bromomethane (methyl bromide),338,0,0.0,-,-,-
3,Chloroethane (ethyl chloride),338,0,-,-,-,-
4,Trichlorofluoromethane,338,0,0.0,-,-,-
5,Diethyl ether,338,0,-,-,-,-
6,"1,1-Dichloroethene",338,0,-,-,-,-
7,Acetone,338,309,0.0,0.0,-,-
8,Iodomethane,338,0,-,-,-,-
9,Carbon disulfide,338,4,0.0,-,-,-
10,3-Chloropropene (allyl chloride),338,0,0.0,-,-,-
11,Methylene chloride (DCM),338,0,0.0,-,-,-
12,"trans-1,2-Dichloroethene",338,0,0.0,-,0.0,-
13,Methyl tert-butyl ether (MTBE),338,0,0.0,0.0,-,-
14,"1,1-Dichloroethane",338,0,0.0,0.0,0.0,-
15,"2,2-Dichloropropane",338,0,-,-,0.0,-
16,"cis-1,2-Dichloroethene",338,0,0.0,0.0,0.0,-
17,2-Butanone (MEK),338,25,0.0,-,-,-
18,Methyl acrylate,338,0,-,-,-,-
19,Methacrylonitrile,338,0,-,-,-,-
20,Bromochloromethane,338,1,-,-,-,-
21,Tetrahydrofuran,338,29,0.0,0.0,-,-
22,Trichloromethane (chloroform),338,315,136.0,136.0,5.0,-
23,"1,1,1-Trichloroethane",338,0,0.0,0.0,0.0,0.0
24,Dibromofluoromethane [SS1],338,298,-,-,-,-
25,Pentafluorobenzene [IS1],338,321,-,-,-,-
26,1-Chlorobutane (butyl chloride),338,0,-,-,-,-
27,Carbon tetrachloride,338,0,0.0,0.0,0.0,0.0
28,"1,1-Dichloropropene",338,0,-,-,-,-
29,Benzene,338,0,0.0,0.0,0.0,0.0
30,"1,2-Dichloroethane",338,0,0.0,0.0,0.0,0.0
31,"1,4-Difluorobenzene [IS2]",338,321,-,-,-,-
32,Trichloroethene,338,0,-,-,-,-
33,"1,2-Dichloropropane",338,0,0.0,0.0,0.0,0.0
34,Dibromomethane,338,0,-,-,-,-
35,Methyl methacrylate,338,0,-,-,-,-
36,Bromodichloromethane,338,224,0.0,0.0,224.0,-
37,2-Nitropropane,338,0,-,-,-,-
38,"cis-1,3-Dichloropropene",338,0,-,-,-,-
39,4-Methyl-2-pentanone (MIBK),338,0,-,-,-,-
40,Toluene-d8 [SS2],338,253,-,-,-,-
41,Toluene,338,0,0.0,0.0,0.0,0.0
42,"trans-1,3-Dichloropropene",338,0,-,-,-,-
43,Ethyl methacrylate,338,0,-,-,-,-
44,"1,1,2-Trichloroethane",338,0,0.0,-,-,0.0
45,Tetrachloroethene,338,0,-,-,-,-
46,"1,3-Dichloropropane",338,0,-,-,-,-
47,2-Hexanone,338,0,-,-,-,-
48,Dibromochloromethane,338,180,26.0,-,0.0,-
49,"1,2-Dibromoethane (EDB)",338,0,0.0,0.0,-,-
50,Chlorobenzene-d5 [IS3],338,321,-,-,-,-
51,Chlorobenzene,338,0,0.0,-,0.0,0.0
52,"1,1,1,2-Tetrachloroethane",338,0,0.0,-,-,-
53,Ethylbenzene,338,0,0.0,0.0,0.0,0.0
54,m/p-Xylene,338,0,0.0,0.0,0.0,0.0
55,o-Xylene,338,0,0.0,0.0,0.0,0.0
56,Styrene,338,0,-,-,0.0,0.0
57,Bromoform,338,75,-,-,75.0,-
58,Isopropylbenzene (cumene),338,0,0.0,-,-,-
59,1-Bromo-4-fluorobenzene (BFB) [SS3],338,277,-,-,-,-
60,Bromobenzene,338,0,-,-,-,-
61,"1,1,2,2-Tetrachloroethane",338,0,-,-,-,-
62,"1,2,3-Trichloropropane (TCP)",338,0,0.0,0.0,-,-
63,"trans-1,4-Dichloro-2-butene",338,0,-,-,-,-
64,n-Propylbenzene,338,0,-,-,-,-
65,2-Chlorotoluene,338,0,-,-,-,-
66,"1,3,5-Trimethylbenzene",338,0,0.0,0.0,-,-
67,4-Chlorotoluene,338,0,-,-,-,-
68,tert-Butylbenzene,338,0,-,-,-,-
69,Pentachloroethane,338,0,-,-,-,-
70,"1,2,4-Trimethylbenzene",338,0,0.0,0.0,-,-
71,1-Methylpropylbenzene (sec-butylbenzene),338,0,-,-,-,-
72,"1,3-Dichlorobenzene",338,0,-,-,-,-
73,4-Isopropyltoluene (p-cymene),338,0,-,-,-,-
74,"1,4-Dichlorobenzene-d4 [IS4]",338,321,-,-,-,-
75,"1,4-Dichlorobenzene",338,0,0.0,0.0,-,-
76,n-Butylbenzene,338,0,-,-,-,-
77,"1,2-Dichlorobenzene",338,0,0.0,-,-,-
78,Hexachloroethane,338,0,-,-,-,-
79,"1,2-Dibromo-3-chloropropane (DBCP)",338,0,-,0.0,0.0,0.0
80,Nitrobenzene,338,0,-,-,-,-
81,"1,2,4-Trichlorobenzene",338,0,0.0,0.0,0.0,0.0
82,"Hexachloro-1,3-butadiene",338,0,-,-,-,-
83,Naphthalene,338,0,0.0,0.0,-,-
84,"1,2,3-Trichlorobenzene",338,0,-,-,-,-
85,Total Trihalomethanes,338,330,-,-,-,6.0
